name label id
prp_streetLight_Blueprint14 1 131
Flg_hedge_Short14_99 29 132
Flg_hedge_Short15 29 133
Flg_hedge_Short16 29 134
Flg_hedge_Short17 29 135
Flg_hedge_Short18 29 136
prp_flag3_137 36 137
prp_manhole19 2 138
prp_sewerGrate3 10 139
prp_streetLight_Blueprint19 1 140
Flg_hedge_Short8 29 141
Flg_hedge_Tall4_87 29 142
Flg_hedge_Tall5_88 29 143
prp_bench5_289 5 144
flg_grass_25 27 145
flg_grass_26 27 146
flg_grass_28 27 147
flg_grass_30 27 148
flg_grass_31 27 149
prp_manhole20 2 150
prp_sewerGrate2 10 151
prp_sewerGrate4 10 152
Awning_mdl3_39 13 153
prp_electricalBox7_157 12 154
prp_light_04_Blueprint21_347 3 155
Sign_1_mdl_164 37 156
prp_sewerGrate27_186 10 157
prp_sewerGrate67 10 158
prp_sewerGrate68 10 159
prp_metalPillar13 17 160
prp_streetLight_Blueprint22 1 161
prp_potSquare_B_167 33 162
prp_streetLight_Blueprint20 1 163
prp_table_153 8 164
prp_tableUmbrella_156 11 165
prp_sewerGrate_294 10 166
prp_chair6 7 167
prp_chair7 7 168
prp_crosswalkSign4_265 15 169
prp_crosswalkSign5_268 15 170
prp_bench6 5 171
flg_grass_32 27 172
Building5_Example_6579 16 173
prp_sewerGrate89 10 174
Flg_hedge_Short5 29 175
prp_chair8 7 176
prp_sewerGrate32 10 177
prp_sewerGrate46 10 178
prp_sewerGrate47 10 179
prp_sewerGrate48 10 180
prp_sewerGrate28 10 181
prp_garbageCan_237 4 182
prp_potSquare_A4 33 183
TrashBag_2_mdl_134 32 184
prp_manhole7 2 185
prp_crosswalkSign3_262 15 186
prp_potSquare_A_376 33 187
prp_garbageCan2_193 4 188
TrashBag_2_mdl2_196 32 189
Awning_mdl2 13 190
prp_streetLight_Blueprint2 1 191
prp_bench_345 5 192
prp_bench2 5 193
prp_chainlinkFence4 20 194
prp_chainlinkFence5 20 195
StoreSign_2_mdl_48 25 196
prp_tarp_163 21 197
prp_potSquare_B3_179 33 198
prp_bench3_190 5 199
prp_sewerGrate34 10 200
prp_ac_114 24 201
prp_ac_18 24 202
prp_ac_22 24 203
prp_electricalBox6_151 12 204
prp_fireHydrant_A2_154 6 205
prp_streetLight_Blueprint_359 1 206
prp_streetLight_Blueprint4 1 207
prp_ac_19 24 208
prp_light_02_Blueprint32_3082 3 209
prp_light_02_Blueprint34 3 210
prp_chainlinkFence2 20 211
prp_chainlinkFence3 20 212
prp_sewerGrate30 10 213
flg_grass_42 27 214
flg_grass_43 27 215
flg_grass_39 27 216
prp_ac_21 24 217
prp_light_02_Blueprint33 3 218
Sign_1_mdl2_167 37 219
prp_barrier_Lrg_307 31 220
prp_pylon_Lrg_310 26 221
prp_pylong_Sml_313 26 222
prp_pylong_Sml2_316 26 223
prp_pylong_Sml3_319 26 224
prp_manhole8 2 225
prp_manhole9 2 226
prp_sewerGrate29 10 227
prp_sewerGrate33 10 228
prp_ac_01_65 24 229
prp_ac_109 24 230
prp_ac_15 24 231
prp_pylon_Lrg3_318 26 232
prp_pylong_Sml7_324 26 233
flg_grass_22 27 234
flg_grass_15 27 235
flg_grass_18 27 236
flg_grass_20 27 237
flg_grass_16 27 238
flg_grass_21 27 239
prp_cementBarrier_58 34 240
prp_pylon_Lrg5_61 26 241
prp_pylong_Sml11_64 26 242
prp_pylong_Sml12_67 26 243
prp_manhole4 2 244
prp_streetLight_Blueprint6 1 245
prp_potSquare_A3_109 33 246
StoreSign_4_mdl_137 25 247
prp_tableUmbrella4 11 248
prp_ac_02_62 24 249
prp_light_04_Blueprint2 3 250
prp_tableUmbrella3 11 251
prp_ac_20 24 252
Flg_hedge_Tall16 29 253
Flg_hedge_Tall18 29 254
Flg_hedge_Short_67 29 255
Flg_hedge_Short3_71 29 256
prp_table2 8 257
prp_tableUmbrella2 11 258
prp_chair11 7 259
prp_chair12 7 260
prp_crosswalkSign2 15 261
flg_grass_02_280 27 262
flg_grass_8 27 263
prp_chainlinkFence_352 20 264
prp_sewerGrate31 10 265
prp_streetLight_Blueprint43 1 266
Flg_hedge_Short2 29 267
Flg_hedge_Short4 29 268
prp_table3 8 269
prp_chair15 7 270
Flg_hedge_Tall13_64 29 271
prp_chair13 7 272
prp_chair16 7 273
prp_pylon_Lrg7_193 26 274
prp_manhole27 2 275
prp_manhole53 2 276
prp_streetLight_Blueprint29 1 277
prp_manhole46 2 278
InstancedFoliageActor_0 18 279
prp_chainlinkFence9 20 280
prp_flag2 36 281
prp_potSquare_B2 33 282
prp_pylong_Sml20_223 26 283
prp_pylong_Sml21_226 26 284
prp_sewerGrate76 10 285
prp_sewerGrate78 10 286
Awning_mdl4 13 287
prp_ac_9 24 288
prp_ac_10 24 289
Sign_1_mdl3_170 37 290
prp_flag_140 36 291
prp_chair_213 7 292
prp_chair2_216 7 293
prp_chair9 7 294
flg_grass_4 27 295
prp_light_01_Blueprint2_562 3 296
prp_ac_16 24 297
prp_light_04_Blueprint_1100 3 298
prp_light_04_Blueprint3 3 299
prp_table4 8 300
prp_chair10 7 301
flg_grass_5 27 302
prp_garbageCan6_46 4 303
prp_ac_101 24 304
prp_light_04_Blueprint4 3 305
prp_chair14 7 306
prp_potSquare_B10 33 307
prp_sewerGrate26_183 10 308
Flg_hedge_Short12 29 309
Building3_Example_6338 16 310
Flg_hedge_Tall17 29 311
Flg_hedge_Short9 29 312
prp_sewerGrate63 10 313
prp_pylon_Lrg10 26 314
prp_pylong_Sml22 26 315
prp_pylong_Sml23 26 316
flg_grass_113 27 317
prp_light_02_Blueprint15 3 318
prp_manhole10_22 2 319
Flg_hedge_Short37 29 320
prp_table9 8 321
prp_tableUmbrella9 11 322
prp_chair34 7 323
prp_chair35 7 324
prp_sewerGrate44 10 325
flg_grass_55 27 326
flg_grass_67 27 327
flg_grass_72 27 328
flg_grass_110 27 329
prp_metalFence4_2 30 330
prp_metalFence5 30 331
prp_metalFence6 30 332
prp_light_02_Blueprint14 3 333
prp_light_03_Blueprint21 3 334
prp_streetLight_Blueprint52 1 335
Flg_hedge_Short34_131 29 336
prp_table11 8 337
prp_chair43 7 338
prp_chair44 7 339
prp_chair62 7 340
flg_grass_54 27 341
flg_grass_79 27 342
flg_grass_66 27 343
Building6_Example2_3656 16 344
prp_metalPillar2 17 345
prp_metalPillar3 17 346
prp_streetLight_Blueprint53 1 347
prp_manhole11_23 2 348
prp_chair33 7 349
prp_table16 8 350
prp_sewerGrate40 10 351
prp_metalPillar_23 17 352
prp_metalPillar4 17 353
prp_light_02_Blueprint13 3 354
prp_chair63 7 355
prp_sewerGrate75 10 356
flg_grass_131 27 357
Flg_hedge_Short13 29 358
flg_grass_117 27 359
prp_light_01_Blueprint3 3 360
prp_ac_11 24 361
prp_ac_12 24 362
prp_ac_13 24 363
prp_metalPillar8 17 364
prp_metalPillar9 17 365
prp_bench26_48 5 366
prp_light_04_Blueprint17_257 3 367
prp_light_02_Blueprint2_188 3 368
flg_grass_47 27 369
Building6_Example_11030 16 370
prp_metalFence_314 30 371
prp_pylon_Lrg4_321 26 372
prp_chainlinkFence8 20 373
prp_manhole47 2 374
prp_light_03_Blueprint25 3 375
prp_light_03_Blueprint24_227 3 376
flg_fern_379 35 377
prp_light_03_Blueprint26 3 378
prp_barrier_Lrg3 31 379
prp_chair30 7 380
prp_chair31 7 381
prp_chair64 7 382
